seq,source_row,year,month,service_provider,billing_item,level,qty,price,amount,billing_mode_raw,quantity_mode_raw,runtime_mode
1,2,2025,4,云护（天津）企业管理咨询有限公司,医院拜访,L1,1573.0,20.0,31460.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
2,2,2025,4,云护（天津）企业管理咨询有限公司,商业拜访,L1,102.0,20.0,2040.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
3,2,2025,4,云护（天津）企业管理咨询有限公司,药房拜访,L1,1733.0,20.0,34660.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
4,2,2025,4,云护（天津）企业管理咨询有限公司,问卷调查,L1,415.0,20.0,8300.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
5,2,2025,4,云护（天津）企业管理咨询有限公司,医院信息调研管理,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
6,2,2025,4,云护（天津）企业管理咨询有限公司,科室信息调研管理,L1,1.0,20.0,20.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
7,2,2025,4,云护（天津）企业管理咨询有限公司,商业信息调研,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
8,2,2025,4,云护（天津）企业管理咨询有限公司,竞品调研管理,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
9,2,2025,4,云护（天津）企业管理咨询有限公司,义诊管理,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
10,2,2025,4,云护（天津）企业管理咨询有限公司,会议管理,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
11,2,2025,4,云护（天津）企业管理咨询有限公司,跟台管理,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
12,2,2025,4,云护（天津）企业管理咨询有限公司,随访管理,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
13,2,2025,4,云护（天津）企业管理咨询有限公司,药品流向管理,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
14,2,2025,4,云护（天津）企业管理咨询有限公司,库存信息收集管理,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
15,2,2025,4,云护（天津）企业管理咨询有限公司,品种准入,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
16,2,2025,4,云护（天津）企业管理咨询有限公司,药店调研,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
17,2,2025,4,云护（天津）企业管理咨询有限公司,会议报告,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
18,2,2025,4,云护（天津）企业管理咨询有限公司,医院协访,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
19,2,2025,4,云护（天津）企业管理咨询有限公司,药店协访,L1,0.0,20.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
20,2,2025,4,云护（天津）企业管理咨询有限公司,工作组药事报告,L1,0.0,3000.0,0.0,智能择取,SIMULATED,ACTUAL_SELECTABLE
21,2,2025,4,云护（天津）企业管理咨询有限公司,工作组市场容量调研报告,L1,0.0,3000.0,0.0,智能择取,SIMULATED,ACTUAL_SELECTABLE
22,2,2025,4,云护（天津）企业管理咨询有限公司,工作组竞品分析调研报告,L1,0.0,3000.0,0.0,智能择取,SIMULATED,ACTUAL_SELECTABLE
23,2,2025,4,云护（天津）企业管理咨询有限公司,月度推广计划,L1,0.0,2000.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
24,2,2025,4,云护（天津）企业管理咨询有限公司,工作组问卷调研分析报告,L1,4.0,2000.0,8000.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
25,2,2025,4,云护（天津）企业管理咨询有限公司,流向分析报告,L1,0.0,2000.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
26,2,2025,4,云护（天津）企业管理咨询有限公司,库存分析报告,L1,0.0,2000.0,0.0,智能择取,ACTUAL_SELECTABLE,ACTUAL_SELECTABLE
