target_amount,fixed_total,selectable_total,simulated_total,current_total,diff_before_tail,tail_threshold,exceeds_1_00,feasible_selectable,sim_item_count,sim_alloc_detail,l4_tail_candidates,calc_path
50000.0,0.0,50000.0,0.0,50000.0,0.0,1.0,N,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(0.00)
50001.0,0.0,50000.0,0.0,50000.0,1.0,1.0,N,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(1.00)
50002.0,0.0,50000.0,0.0,50000.0,2.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(2.00)
50003.0,0.0,50000.0,0.0,50000.0,3.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(3.00)
50004.0,0.0,50000.0,0.0,50000.0,4.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(4.00)
50005.0,0.0,50000.0,0.0,50000.0,5.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(5.00)
50006.0,0.0,50000.0,0.0,50000.0,6.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(6.00)
50007.0,0.0,50000.0,0.0,50000.0,7.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(7.00)
50008.0,0.0,50000.0,0.0,50000.0,8.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(8.00)
50009.0,0.0,50000.0,0.0,50000.0,9.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(9.00)
50010.0,0.0,50000.0,0.0,50000.0,10.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50000.00) + simulated(0.00) => diff(10.00)
50011.0,0.0,50020.0,0.0,50020.0,-9.0,0.0,Y,N,0,,0,fixed(0.00) + selectable(50020.00) => over_target(-9.00)
50012.0,0.0,50020.0,0.0,50020.0,-8.0,0.0,Y,N,0,,0,fixed(0.00) + selectable(50020.00) => over_target(-8.00)
50013.0,0.0,50020.0,0.0,50020.0,-7.0,0.0,Y,N,0,,0,fixed(0.00) + selectable(50020.00) => over_target(-7.00)
50014.0,0.0,50020.0,0.0,50020.0,-6.0,0.0,Y,N,0,,0,fixed(0.00) + selectable(50020.00) => over_target(-6.00)
50015.0,0.0,50020.0,0.0,50020.0,-5.0,0.0,Y,N,0,,0,fixed(0.00) + selectable(50020.00) => over_target(-5.00)
50016.0,0.0,50020.0,0.0,50020.0,-4.0,0.0,Y,N,0,,0,fixed(0.00) + selectable(50020.00) => over_target(-4.00)
50017.0,0.0,50020.0,0.0,50020.0,-3.0,0.0,Y,N,0,,0,fixed(0.00) + selectable(50020.00) => over_target(-3.00)
50018.0,0.0,50020.0,0.0,50020.0,-2.0,0.0,Y,N,0,,0,fixed(0.00) + selectable(50020.00) => over_target(-2.00)
50019.0,0.0,50020.0,0.0,50020.0,-1.0,0.0,N,N,0,,0,fixed(0.00) + selectable(50020.00) => over_target(-1.00)
50020.0,0.0,50020.0,0.0,50020.0,0.0,1.0,N,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(0.00)
50021.0,0.0,50020.0,0.0,50020.0,1.0,1.0,N,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(1.00)
50022.0,0.0,50020.0,0.0,50020.0,2.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(2.00)
50023.0,0.0,50020.0,0.0,50020.0,3.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(3.00)
50024.0,0.0,50020.0,0.0,50020.0,4.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(4.00)
50025.0,0.0,50020.0,0.0,50020.0,5.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(5.00)
50026.0,0.0,50020.0,0.0,50020.0,6.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(6.00)
50027.0,0.0,50020.0,0.0,50020.0,7.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(7.00)
50028.0,0.0,50020.0,0.0,50020.0,8.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(8.00)
50029.0,0.0,50020.0,0.0,50020.0,9.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(9.00)
50030.0,0.0,50020.0,0.0,50020.0,10.0,1.0,Y,Y,0,,5,fixed(0.00) + selectable(50020.00) + simulated(0.00) => diff(10.00)
